Word;ExampleSentence;WordPOS;TranslationWord;TranslationSentence;TTSSentence;Audio
alla fine;{{c1::Alla fine}} del film.;phrase;at the end;At the end of the movie.;Alla fine del film.;
allegro;Sono {{c1::allegro}} oggi.;adj, masculine, singular;cheerful;I'm cheerful today.;Sono allegro oggi.;
allenamento;L'{{c1::allenamento}} è faticoso.;noun, masculine, singular;training;Training is tiring.;L'allenamento è faticoso.;
allora;{{c1::Allora}}, cosa facciamo?;adv;then;Then, what do we do?;Allora, cosa facciamo?;
almeno;{{c1::Almeno}} tre persone.;adv;at least;At least three people.;Almeno tre persone.;
alto;Il palazzo è {{c1::alto}}.;adj, masculine, singular;tall;The building is tall.;Il palazzo è alto.;
amare;Ti {{c1::amo}} molto.;verb, 1st person singular, presente;love;I love you very much.;Ti amo molto.;
ambulatorio;L'{{c1::ambulatorio}} è al primo piano.;noun, masculine, singular;clinic;The clinic is on the first floor.;L'ambulatorio è al primo piano.;
ammirare;{{c1::Ammiro}} il tuo coraggio.;verb, 1st person singular, presente;admire;I admire your courage.;Ammiro il tuo coraggio.;
ampio;La stanza è {{c1::ampia}}.;adj, feminine, singular;spacious;The room is spacious.;La stanza è ampia.;
anche;{{c1::Anche}} io voglio venire.;adv;also;I also want to come.;Anche io voglio venire.;
ancora;{{c1::Ancora}} non ho finito.;adv;still;I still haven't finished.;Ancora non ho finito.;
andare;Devo {{c1::andare}} al lavoro.;verb, infinitive;go;I need to go to work.;Devo andare al lavoro.;
antico;Il castello è {{c1::antico}}.;adj, masculine, singular;ancient;The castle is ancient.;Il castello è antico.;
apertura;L'{{c1::apertura}} del negozio è alle nove.;noun, feminine, singular;opening;The store opening is at nine.;L'apertura del negozio è alle nove.;
appena;{{c1::Appena}} arrivo, ti telefono.;adv;as soon as;As soon as I arrive, I'll call you.;Appena arrivo, ti telefono.;
armatore;L'{{c1::armatore}} ha molte navi.;noun, masculine, singular;shipowner;The shipowner has many ships.;L'armatore ha molte navi.;
arrabbiato;Sono {{c1::arrabbiato}} con te.;adj, masculine, singular;angry;I'm angry with you.;Sono arrabbiato con te.;
arrampicata;L'{{c1::arrampicata}} è pericolosa.;noun, feminine, singular;climbing;Climbing is dangerous.;L'arrampicata è pericolosa.;
arredamento;L'{{c1::arredamento}} è moderno.;noun, masculine, singular;furniture;The furniture is modern.;L'arredamento è moderno.;
arrivare;{{c1::Arrivo}} domani.;verb, 1st person singular, presente;arrive;I arrive tomorrow.;Arrivo domani.;
aspettare;Devo {{c1::aspettare}} l'autobus.;verb, infinitive;wait;I need to wait for the bus.;Devo aspettare l'autobus.;
attività;L'{{c1::attività}} fisica è importante.;noun, feminine, singular;activity;Physical activity is important.;L'attività fisica è importante.;
attraverso;Cammino {{c1::attraverso}} il parco.;prep;through;I walk through the park.;Cammino attraverso il parco.;
autunno;L'{{c1::autunno}} è la mia stagione preferita.;noun, masculine, singular;autumn;Autumn is my favorite season.;L'autunno è la mia stagione preferita.;
bagno;Il {{c1::bagno}} è al primo piano.;noun, masculine, singular;bathroom;The bathroom is on the first floor.;Il bagno è al primo piano.;
basso;Il tavolo è {{c1::basso}}.;adj, masculine, singular;low;The table is low.;Il tavolo è basso.;
basta;{{c1::Basta}} parlare!;verb, 3rd person singular, presente;enough;Enough talking!;Basta parlare!;
bellissimo;Il panorama è {{c1::bellissimo}}.;adj, masculine, singular;beautiful;The view is beautiful.;Il panorama è bellissimo.;
bello;Il vestito è {{c1::bello}}.;adj, masculine, singular;beautiful;The dress is beautiful.;Il vestito è bello.;
bisogno;Ho {{c1::bisogno}} di aiuto.;noun, masculine, singular;need;I need help.;Ho bisogno di aiuto.;
bomba;La {{c1::bomba}} è esplosa.;noun, feminine, singular;bomb;The bomb exploded.;La bomba è esplosa.;
bosco;Il {{c1::bosco}} è fitto.;noun, masculine, singular;forest;The forest is dense.;Il bosco è fitto.;
braccio;Mi fa male il {{c1::braccio}}.;noun, masculine, singular;arm;My arm hurts.;Mi fa male il braccio.;
brutto;Il tempo è {{c1::brutto}}.;adj, masculine, singular;bad;The weather is bad.;Il tempo è brutto.;
bussare;Devo {{c1::bussare}} alla porta.;verb, infinitive;knock;I need to knock on the door.;Devo bussare alla porta.;
c'è;{{c1::C'è}} un problema.;phrase;there is;There is a problem.;C'è un problema.;
cadere;Stai attento a non {{c1::cadere}}.;verb, infinitive;fall;Be careful not to fall.;Stai attento a non cadere.;
calcio;Il {{c1::calcio}} è uno sport.;noun, masculine, singular;soccer;Soccer is a sport.;Il calcio è uno sport.;
camminare;Mi piace {{c1::camminare}}.;verb, infinitive;walk;I like to walk.;Mi piace camminare.;
camminata;La {{c1::camminata}} è stata lunga.;noun, feminine, singular;walk;The walk was long.;La camminata è stata lunga.;
cancellare;Devo {{c1::cancellare}} questo file.;verb, infinitive;delete;I need to delete this file.;Devo cancellare questo file.;
cantina;La {{c1::cantina}} è nel seminterrato.;noun, feminine, singular;cellar;The cellar is in the basement.;La cantina è nel seminterrato.;
capire;Non {{c1::capisco}}.;verb, 1st person singular, presente;understand;I don't understand.;Non capisco.;
capo;Il {{c1::capo}} è severo.;noun, masculine, singular;boss;The boss is strict.;Il capo è severo.;
capottare;La barca può {{c1::capottare}}.;verb, infinitive;capsize;The boat can capsize.;La barca può capottare.;
cascina;La {{c1::cascina}} è in campagna.;noun, feminine, singular;farmhouse;The farmhouse is in the countryside.;La cascina è in campagna.;
catena;La {{c1::catena}} è d'oro.;noun, feminine, singular;chain;The chain is gold.;La catena è d'oro.;
catena montuosa;La {{c1::catena montuosa}} è imponente.;noun, feminine, singular;mountain range;The mountain range is impressive.;La catena montuosa è imponente.;
cattivo;Il bambino è {{c1::cattivo}}.;adj, masculine, singular;bad;The child is bad.;Il bambino è cattivo.;
centro storico;Il {{c1::centro storico}} è antico.;noun, masculine, singular;historic center;The historic center is old.;Il centro storico è antico.;
ceppo;Il {{c1::ceppo}} è di quercia.;noun, masculine, singular;log;The log is oak.;Il ceppo è di quercia.;
chiavetta;Ho perso la {{c1::chiavetta}}.;noun, feminine, singular;USB stick;I lost the USB stick.;Ho perso la chiavetta.;
chiedere;Devo {{c1::chiedere}} aiuto.;verb, infinitive;ask;I need to ask for help.;Devo chiedere aiuto.;
ciao;{{c1::Ciao}}, come stai?;interj;hello;Hello, how are you?;Ciao, come stai?;
cima;La {{c1::cima}} della montagna.;noun, feminine, singular;peak;The peak of the mountain.;La cima della montagna.;
cioè;{{c1::Cioè}}, non capisco.;adv;that is;That is, I don't understand.;Cioè, non capisco.;
cittadinanza;La {{c1::cittadinanza}} italiana.;noun, feminine, singular;citizenship;Italian citizenship.;La cittadinanza italiana.;
colla;La {{c1::colla}} non funziona.;noun, feminine, singular;glue;The glue doesn't work.;La colla non funziona.;
collegare;Devo {{c1::collegare}} i cavi.;verb, infinitive;connect;I need to connect the cables.;Devo collegare i cavi.;
collina;La {{c1::collina}} è verde.;noun, feminine, singular;hill;The hill is green.;La collina è verde.;
collo;Mi fa male il {{c1::collo}}.;noun, masculine, singular;neck;My neck hurts.;Mi fa male il collo.;
colorato;Il quadro è {{c1::colorato}}.;adj, masculine, singular;colorful;The painting is colorful.;Il quadro è colorato.;
combattere;Devo {{c1::combattere}} per i miei diritti.;verb, infinitive;fight;I need to fight for my rights.;Devo combattere per i miei diritti.;
come;{{c1::Come}} stai?;adv;how;How are you?;Come stai?;
cominciare;{{c1::Comincio}} domani.;verb, 1st person singular, presente;begin;I begin tomorrow.;Comincio domani.;
comprare;Devo {{c1::comprare}} il pane.;verb, infinitive;buy;I need to buy bread.;Devo comprare il pane.;
comune;È un problema {{c1::comune}}.;adj, masculine, singular;common;It's a common problem.;È un problema comune.;
condominio;Vivo in un {{c1::condominio}}.;noun, masculine, singular;condominium;I live in a condominium.;Vivo in un condominio.;
conquistare;Vuole {{c1::conquistare}} il mondo.;verb, infinitive;conquer;He wants to conquer the world.;Vuole conquistare il mondo.;
consigliare;Ti {{c1::consiglio}} di studiare.;verb, infinitive;advise;I advise you to study.;Ti consiglio di studiare.;
consiglio;Il tuo {{c1::consiglio}} è utile.;noun, masculine, singular;advice;Your advice is useful.;Il tuo consiglio è utile.;
contro;Sono {{c1::contro}} questa idea.;prep;against;I'm against this idea.;Sono contro questa idea.;
conversazione;La {{c1::conversazione}} è interessante.;noun, feminine, singular;conversation;The conversation is interesting.;La conversazione è interessante.;
coprire;Devo {{c1::coprire}} la testa.;verb, infinitive;cover;I need to cover my head.;Devo coprire la testa.;
corrente;La {{c1::corrente}} è forte.;noun, feminine, singular;current;The current is strong.;La corrente è forte.;
costituire;Questo può {{c1::costituire}} un problema.;verb, infinitive;constitute;This can constitute a problem.;Questo può costituire un problema.;
credenza;La {{c1::credenza}} è piena.;noun, feminine, singular;sideboard;The sideboard is full.;La credenza è piena.;
credere;{{c1::Credo}} in te.;verb, 1st person singular, presente;believe;I believe in you.;Credo in te.;
crescere;I bambini {{c1::crescono}} velocemente.;verb, 3rd person plural, presente;grow;Children grow quickly.;I bambini crescono velocemente.;
cretino;Sei un {{c1::cretino}}.;adj, masculine, singular;idiot;You're an idiot.;Sei un cretino.;
cretino;Il {{c1::cretino}} ha rotto tutto.;noun, masculine, singular;idiot;The idiot broke everything.;Il cretino ha rotto tutto.;
cui;La persona di {{c1::cui}} parlo.;pronoun, relative;whom;The person of whom I speak.;La persona di cui parlo.;
dammelo;{{c1::Dammelo}} subito!;verb, 2nd person singular, imperativo;give it to me;Give it to me right now!;Dammelo subito!;
dare;Devo {{c1::dare}} una risposta.;verb, infinitive;give;I need to give an answer.;Devo dare una risposta.;
davvero;È {{c1::davvero}} bello.;adv;really;It's really beautiful.;È davvero bello.;
degli;Ho parlato {{c1::degli}} amici.;prep, masculine, plural;of the;I spoke of the friends.;Ho parlato degli amici.;
delitto;Il {{c1::delitto}} è grave.;noun, masculine, singular;crime;The crime is serious.;Il delitto è grave.;
delizioso;Il cibo è {{c1::delizioso}}.;adj, masculine, singular;delicious;The food is delicious.;Il cibo è delizioso.;
dimmi;{{c1::Dimmi}} la verità.;verb, 2nd person singular, imperativo;tell me;Tell me the truth.;Dimmi la verità.;
dio;{{c1::Dio}} è buono.;noun, masculine, singular;God;God is good.;Dio è buono.;
dire;Devo {{c1::dire}} qualcosa.;verb, infinitive;say;I need to say something.;Devo dire qualcosa.;
diventare;Vuole {{c1::diventare}} medico.;verb, infinitive;become;He wants to become a doctor.;Vuole diventare medico.;
diverso;È {{c1::diverso}} da me.;adj, masculine, singular;different;He's different from me.;È diverso da me.;
divertente;Il film è {{c1::divertente}}.;adj, masculine, singular;funny;The movie is funny.;Il film è divertente.;
dolce;Il gelato è {{c1::dolce}}.;adj, masculine, singular;sweet;The ice cream is sweet.;Il gelato è dolce.;
dopo;{{c1::Dopo}} cena andiamo al cinema.;prep;after;After dinner we go to the cinema.;Dopo cena andiamo al cinema.;
dovere;Devo {{c1::dovere}} studiare.;verb, infinitive;must;I must study.;Devo dovere studiare.;
dubbio;Ho un {{c1::dubbio}}.;noun, masculine, singular;doubt;I have a doubt.;Ho un dubbio.;
due giorni fa;{{c1::Due giorni fa}} ero a Roma.;phrase;two days ago;Two days ago I was in Rome.;Due giorni fa ero a Roma.;
e;Io {{c1::e}} tu siamo amici.;conj;and;You and I are friends.;Io e tu siamo amici.;
eliminare;Devo {{c1::eliminare}} questo file.;verb, infinitive;eliminate;I need to eliminate this file.;Devo eliminare questo file.;
emozionante;Il viaggio è {{c1::emozionante}}.;adj, masculine, singular;exciting;The trip is exciting.;Il viaggio è emozionante.;
entrambi;{{c1::Entrambi}} i bambini giocano.;pronoun, masculine, plural;both;Both children are playing.;Entrambi i bambini giocano.;
equilibrio;Mantieni l'{{c1::equilibrio}}.;noun, masculine, singular;balance;Keep your balance.;Mantieni l'equilibrio.;
era;{{c1::Era}} una bella giornata.;verb, 3rd person singular, imperfetto;was;It was a beautiful day.;Era una bella giornata.;
eredità;L'{{c1::eredità}} è grande.;noun, feminine, singular;heritage;The heritage is great.;L'eredità è grande.;
eroe;L'{{c1::eroe}} ha salvato tutti.;noun, masculine, singular;hero;The hero saved everyone.;L'eroe ha salvato tutti.;
esercitare;Devo {{c1::esercitare}} il diritto.;verb, infinitive;exercise;I need to exercise the right.;Devo esercitare il diritto.;
esercizio;L'{{c1::esercizio}} è difficile.;noun, masculine, singular;exercise;The exercise is difficult.;L'esercizio è difficile.;
esprimere;Devo {{c1::esprimere}} la mia opinione.;verb, infinitive;express;I need to express my opinion.;Devo esprimere la mia opinione.;
esteso;Il territorio è {{c1::esteso}}.;adj, masculine, singular;extensive;The territory is extensive.;Il territorio è esteso.;
estivo;Il clima {{c1::estivo}} è caldo.;adj, masculine, singular;summer;The summer climate is hot.;Il clima estivo è caldo.;
faccia;La sua {{c1::faccia}} è bella.;noun, feminine, singular;face;Her face is beautiful.;La sua faccia è bella.;
famoso;È un attore {{c1::famoso}}.;adj, masculine, singular;famous;He's a famous actor.;È un attore famoso.;
fare;Devo {{c1::fare}} i compiti.;verb, infinitive;do;I need to do homework.;Devo fare i compiti.;
farmacia;La {{c1::farmacia}} è chiusa.;noun, feminine, singular;pharmacy;The pharmacy is closed.;La farmacia è chiusa.;
fattore;Il {{c1::fattore}} è importante.;noun, masculine, singular;factor;The factor is important.;Il fattore è importante.;
fermare;Devo {{c1::fermare}} la macchina.;verb, infinitive;stop;I need to stop the car.;Devo fermare la macchina.;
fermata;La {{c1::fermata}} è qui.;noun, feminine, singular;stop;The stop is here.;La fermata è qui.;
fermo;Il treno è {{c1::fermo}}.;adj, masculine, singular;stopped;The train is stopped.;Il treno è fermo.;
fidanzato;Il mio {{c1::fidanzato}} è gentile.;noun, masculine, singular;boyfriend;My boyfriend is kind.;Il mio fidanzato è gentile.;
fiume;Il {{c1::fiume}} è profondo.;noun, masculine, singular;river;The river is deep.;Il fiume è profondo.;
foresta;La {{c1::foresta}} è fitta.;noun, feminine, singular;forest;The forest is dense.;La foresta è fitta.;
forte;Il caffè è {{c1::forte}}.;adj, masculine, singular;strong;The coffee is strong.;Il caffè è forte.;
fotografare;Mi piace {{c1::fotografare}}.;verb, infinitive;photograph;I like to photograph.;Mi piace fotografare.;
freddo;Fa {{c1::freddo}} oggi.;adj, masculine, singular;cold;It's cold today.;Fa freddo oggi.;
frequentare;{{c1::Frequentare}} l'università.;verb, infinitive;attend;Attend university.;Frequentare l'università.;
fresco;L'aria è {{c1::fresca}}.;adj, feminine, singular;fresh;The air is fresh.;L'aria è fresca.;
fretta;Ho {{c1::fretta}}.;noun, feminine, singular;hurry;I'm in a hurry.;Ho fretta.;
gareggiare;Vuole {{c1::gareggiare}} nella corsa.;verb, infinitive;compete;He wants to compete in the race.;Vuole gareggiare nella corsa.;
gente;La {{c1::gente}} è gentile.;noun, feminine, singular;people;People are kind.;La gente è gentile.;
già;Ho {{c1::già}} mangiato.;adv;already;I already ate.;Ho già mangiato.;
girare;Devo {{c1::girare}} a destra.;verb, infinitive;turn;I need to turn right.;Devo girare a destra.;
gli;{{c1::Gli}} piace il gelato.;pronoun, masculine, singular;to him;He likes ice cream.;Gli piace il gelato.;
glielo;{{c1::Glielo}} ho detto.;pronoun, masculine, singular;it to him;I told him.;Glielo ho detto.;
godere;Mi piace {{c1::godere}} della vita.;verb, infinitive;enjoy;I like to enjoy life.;Mi piace godere della vita.;
grande;La casa è {{c1::grande}}.;adj, feminine, singular;big;The house is big.;La casa è grande.;
grazie;{{c1::Grazie}} per l'aiuto.;interj;thank you;Thank you for the help.;Grazie per l'aiuto.;
gridare;Non {{c1::gridare}}!;verb, infinitive;shout;Don't shout!;Non gridare!;
gusto;Il {{c1::gusto}} è buono.;noun, masculine, singular;taste;The taste is good.;Il gusto è buono.;
hall;L'{{c1::hall}} dell'hotel è grande.;noun, feminine, singular;lobby;The hotel lobby is big.;L'hall dell'hotel è grande.;
ho capito;{{c1::Ho capito}} tutto.;phrase;I understood;I understood everything.;Ho capito tutto.;
ho collegato;{{c1::Ho collegato}} il computer.;phrase;I connected;I connected the computer.;Ho collegato il computer.;
ieri;{{c1::Ieri}} ero a Milano.;adv;yesterday;Yesterday I was in Milan.;Ieri ero a Milano.;
impazzire;Sto per {{c1::impazzire}}.;verb, infinitive;go crazy;I'm about to go crazy.;Sto per impazzire.;
importante;È {{c1::importante}} studiare.;adj, masculine, singular;important;It's important to study.;È importante studiare.;
incerto;Il risultato è {{c1::incerto}}.;adj, masculine, singular;uncertain;The result is uncertain.;Il risultato è incerto.;
inchiodare;Devo {{c1::inchiodare}} il quadro.;verb, infinitive;nail;I need to nail the picture.;Devo inchiodare il quadro.;
incollare;Devo {{c1::incollare}} i pezzi.;verb, infinitive;glue;I need to glue the pieces.;Devo incollare i pezzi.;
incontrare;Domani {{c1::incontro}} i miei amici.;verb, 1st person singular, presente;meet;Tomorrow I meet my friends.;Domani incontro i miei amici.;
indimenticabile;È un'esperienza {{c1::indimenticabile}}.;adj, feminine, singular;unforgettable;It's an unforgettable experience.;È un'esperienza indimenticabile.;
infine;{{c1::Infine}}, tutto è andato bene.;adv;finally;Finally, everything went well.;Infine, tutto è andato bene.;
ingessato;Ho il braccio {{c1::ingessato}}.;adj, masculine, singular;in a cast;I have my arm in a cast.;Ho il braccio ingessato.;
ingolare;Devo {{c1::ingolare}} la pillola.;verb, infinitive;swallow;I need to swallow the pill.;Devo ingolare la pillola.;
innevato;Il monte è {{c1::innevato}}.;adj, masculine, singular;snow-covered;The mountain is snow-covered.;Il monte è innevato.;
inoltre;{{c1::Inoltre}}, è economico.;adv;moreover;Moreover, it's cheap.;Inoltre, è economico.;
insegnare;Mi piace {{c1::insegnare}}.;verb, infinitive;teach;I like to teach.;Mi piace insegnare.;
interessante;Il libro è {{c1::interessante}}.;adj, masculine, singular;interesting;The book is interesting.;Il libro è interessante.;
invece;{{c1::Invece}} di andare, resto.;adv;instead;Instead of going, I stay.;Invece di andare, resto.;
inverno;L'{{c1::inverno}} è freddo.;noun, masculine, singular;winter;Winter is cold.;L'inverno è freddo.;
isola;L'{{c1::isola}} è piccola.;noun, feminine, singular;island;The island is small.;L'isola è piccola.;
istruzione;L'{{c1::istruzione}} è gratuita.;noun, feminine, singular;education;Education is free.;L'istruzione è gratuita.;
l'altro ieri;{{c1::L'altro ieri}} ero a Roma.;phrase;the day before yesterday;The day before yesterday I was in Rome.;L'altro ieri ero a Roma.;
la settimana scorsa;{{c1::La settimana scorsa}} ho lavorato molto.;phrase;last week;Last week I worked a lot.;La settimana scorsa ho lavorato molto.;
ladro;Il {{c1::ladro}} è stato arrestato.;noun, masculine, singular;thief;The thief was arrested.;Il ladro è stato arrestato.;
laico;È uno stato {{c1::laico}}.;adj, masculine, singular;secular;It's a secular state.;È uno stato laico.;
largo;La strada è {{c1::larga}}.;adj, feminine, singular;wide;The street is wide.;La strada è larga.;
lasciare;Devo {{c1::lasciare}} le chiavi.;verb, infinitive;leave;I need to leave the keys.;Devo lasciare le chiavi.;
le Alpi;{{c1::Le Alpi}} sono alte.;noun, feminine, plural;the Alps;The Alps are tall.;Le Alpi sono alte.;
le Dolomiti;{{c1::Le Dolomiti}} sono belle.;noun, feminine, plural;the Dolomites;The Dolomites are beautiful.;Le Dolomiti sono belle.;
lingua;La {{c1::lingua}} italiana è bella.;noun, feminine, singular;language;The Italian language is beautiful.;La lingua italiana è bella.;
linguaggio;Il {{c1::linguaggio}} dei segni.;noun, masculine, singular;language;Sign language.;Il linguaggio dei segni.;
lirico;È un poeta {{c1::lirico}}.;adj, masculine, singular;lyric;He's a lyric poet.;È un poeta lirico.;
locanda;La {{c1::locanda}} è accogliente.;noun, feminine, singular;inn;The inn is welcoming.;La locanda è accogliente.;
lontano da;Sono {{c1::lontano da}} casa.;phrase;far from;I'm far from home.;Sono lontano da casa.;
lotta;La {{c1::lotta}} è dura.;noun, feminine, singular;fight;The fight is hard.;La lotta è dura.;
lottare;Devo {{c1::lottare}} per i miei diritti.;verb, infinitive;fight;I need to fight for my rights.;Devo lottare per i miei diritti.;
luogo;Questo è il {{c1::luogo}} giusto.;noun, masculine, singular;place;This is the right place.;Questo è il luogo giusto.;
ma;{{c1::Ma}} non è vero.;conj;but;But it's not true.;Ma non è vero.;
mai;Non {{c1::mai}} più.;adv;never;Never again.;Non mai più.;
manico;Il {{c1::manico}} della pentola.;noun, masculine, singular;handle;The pot handle.;Il manico della pentola.;
mattino;Buon {{c1::mattino}}!;noun, masculine, singular;morning;Good morning!;Buon mattino!;
mentre;{{c1::Mentre}} mangio, leggo.;conj;while;While I eat, I read.;Mentre mangio, leggo.;
meraviglioso;Il panorama è {{c1::meraviglioso}}.;adj, masculine, singular;wonderful;The view is wonderful.;Il panorama è meraviglioso.;
mescolare;Devo {{c1::mescolare}} gli ingredienti.;verb, infinitive;mix;I need to mix the ingredients.;Devo mescolare gli ingredienti.;
meta;La {{c1::meta}} è lontana.;noun, feminine, singular;destination;The destination is far.;La meta è lontana.;
metà;{{c1::Metà}} del lavoro è fatto.;noun, feminine, singular;half;Half the work is done.;Metà del lavoro è fatto.;
mettere;Devo {{c1::mettere}} i libri.;verb, infinitive;put;I need to put the books.;Devo mettere i libri.;
mezzo;Il {{c1::mezzo}} di trasporto.;noun, masculine, singular;means;The means of transport.;Il mezzo di trasporto.;
minoranza;La {{c1::minoranza}} ha diritti.;noun, feminine, singular;minority;The minority has rights.;La minoranza ha diritti.;
mite;Il clima è {{c1::mite}}.;adj, masculine, singular;mild;The climate is mild.;Il clima è mite.;
moderno;L'edificio è {{c1::moderno}}.;adj, masculine, singular;modern;The building is modern.;L'edificio è moderno.;
montagne;Le {{c1::montagne}} sono alte.;noun, feminine, plural;mountains;The mountains are tall.;Le montagne sono alte.;
montuoso;Il territorio è {{c1::montuoso}}.;adj, masculine, singular;mountainous;The territory is mountainous.;Il territorio è montuoso.;
naturale;È {{c1::naturale}}.;adj, masculine, singular;natural;It's natural.;È naturale.;
negli;{{c1::Negli}} ultimi anni.;prep, masculine, plural;in the;In the last years.;Negli ultimi anni.;
nei;{{c1::Nei}} giorni feriali.;prep, masculine, plural;in the;On weekdays.;Nei giorni feriali.;
nel;{{c1::Nel}} parco.;prep, masculine, singular;in the;In the park.;Nel parco.;
nell';{{c1::Nell'}} ospedale.;prep, masculine, singular;in the;In the hospital.;Nell' ospedale.;
nella;{{c1::Nella}} casa.;prep, feminine, singular;in the;In the house.;Nella casa.;
nelle;{{c1::Nelle}} scuole.;prep, feminine, plural;in the;In the schools.;Nelle scuole.;
nello;{{c1::Nello}} studio.;prep, masculine, singular;in the;In the study.;Nello studio.;
neve;La {{c1::neve}} è bianca.;noun, feminine, singular;snow;The snow is white.;La neve è bianca.;
niente;Non ho {{c1::niente}}.;pronoun, masculine, singular;nothing;I have nothing.;Non ho niente.;
noi scaricheremo;{{c1::Noi scaricheremo}} i file.;phrase;we will download;We will download the files.;Noi scaricheremo i file.;
nostro;È il {{c1::nostro}} libro.;adj, masculine, singular;our;It's our book.;È il nostro libro.;
nuoto;Il {{c1::nuoto}} è uno sport.;noun, masculine, singular;swimming;Swimming is a sport.;Il nuoto è uno sport.;
nuvola;La {{c1::nuvola}} è grigia.;noun, feminine, singular;cloud;The cloud is gray.;La nuvola è grigia.;
obbligare;Devo {{c1::obbligare}} gli studenti.;verb, infinitive;oblige;I need to oblige the students.;Devo obbligare gli studenti.;
obbligato;Sono {{c1::obbligato}} a venire.;adj, masculine, singular;obliged;I'm obliged to come.;Sono obbligato a venire.;
occidentale;La cultura {{c1::occidentale}}.;adj, feminine, singular;western;Western culture.;La cultura occidentale.;
occidente;L'{{c1::occidente}} è ricco.;noun, masculine, singular;west;The west is rich.;L'occidente è ricco.;
ospedale;L'{{c1::ospedale}} è grande.;noun, masculine, singular;hospital;The hospital is big.;L'ospedale è grande.;
ossia;{{c1::Ossia}}, in altre parole.;conj;that is;That is, in other words.;Ossia, in altre parole.;
ottenere;Vuole {{c1::ottenere}} il permesso.;verb, infinitive;obtain;He wants to obtain permission.;Vuole ottenere il permesso.;
paesaggio;Il {{c1::paesaggio}} è bello.;noun, masculine, singular;landscape;The landscape is beautiful.;Il paesaggio è bello.;
palazzo;Il {{c1::palazzo}} è antico.;noun, masculine, singular;palace;The palace is old.;Il palazzo è antico.;
palestra;La {{c1::palestra}} è aperta.;noun, feminine, singular;gym;The gym is open.;La palestra è aperta.;
pallacanestro;Il {{c1::pallacanestro}} è divertente.;noun, masculine, singular;basketball;Basketball is fun.;Il pallacanestro è divertente.;
panna;La {{c1::panna}} è fresca.;noun, feminine, singular;cream;The cream is fresh.;La panna è fresca.;
parare;Devo {{c1::parare}} il colpo.;verb, infinitive;parry;I need to parry the blow.;Devo parare il colpo.;
passare il tempo;Mi piace {{c1::passare il tempo}} con gli amici.;phrase;spend time;I like to spend time with friends.;Mi piace passare il tempo con gli amici.;
passo;Faccio un {{c1::passo}} alla volta.;noun, masculine, singular;step;I take one step at a time.;Faccio un passo alla volta.;
pasto;Il {{c1::pasto}} è pronto.;noun, masculine, singular;meal;The meal is ready.;Il pasto è pronto.;
pattinaggio;Il {{c1::pattinaggio}} è difficile.;noun, masculine, singular;skating;Skating is difficult.;Il pattinaggio è difficile.;
pavimento;Il {{c1::pavimento}} è pulito.;noun, masculine, singular;floor;The floor is clean.;Il pavimento è pulito.;
pazzo;Sei {{c1::pazzo}}!;adj, masculine, singular;crazy;You're crazy!;Sei pazzo!;
peggiore;È il {{c1::peggiore}}.;adj, masculine, singular;worst;It's the worst.;È il peggiore.;
pelle;La {{c1::pelle}} è sensibile.;noun, feminine, singular;skin;The skin is sensitive.;La pelle è sensibile.;
pendenza;La {{c1::pendenza}} è ripida.;noun, feminine, singular;slope;The slope is steep.;La pendenza è ripida.;
per lo più;{{c1::Per lo più}} vado in bici.;phrase;mostly;I mostly go by bike.;Per lo più vado in bici.;
perché;{{c1::Perché}} non vieni?;conj;because;Why don't you come?;Perché non vieni?;
percorso;Il {{c1::percorso}} è lungo.;noun, masculine, singular;path;The path is long.;Il percorso è lungo.;
pericolo;C'è {{c1::pericolo}}.;noun, masculine, singular;danger;There is danger.;C'è pericolo.;
però;{{c1::Però}} è difficile.;conj;however;However, it's difficult.;Però è difficile.;
pianeggiante;Il terreno è {{c1::pianeggiante}}.;adj, masculine, singular;flat;The terrain is flat.;Il terreno è pianeggiante.;
piantina;La {{c1::piantina}} è piccola.;noun, feminine, singular;small plant;The small plant is little.;La piantina è piccola.;
pianura;La {{c1::pianura}} è vasta.;noun, feminine, singular;plain;The plain is vast.;La pianura è vasta.;
piazza;La {{c1::piazza}} è grande.;noun, feminine, singular;square;The square is big.;La piazza è grande.;
piccolo;Il bambino è {{c1::piccolo}}.;adj, masculine, singular;small;The child is small.;Il bambino è piccolo.;
piena;La bottiglia è {{c1::piena}}.;adj, feminine, singular;full;The bottle is full.;La bottiglia è piena.;
pigro;Sei {{c1::pigro}}.;adj, masculine, singular;lazy;You're lazy.;Sei pigro.;
pioggia;La {{c1::pioggia}} è forte.;noun, feminine, singular;rain;The rain is heavy.;La pioggia è forte.;
piovere;{{c1::Piove}} molto.;verb, 3rd person singular, presente;rain;It rains a lot.;Piove molto.;
piramide alimentare;La {{c1::piramide alimentare}} mostra i cibi.;noun, feminine, singular;food pyramid;The food pyramid shows foods.;La piramide alimentare mostra i cibi.;
pista;La {{c1::pista}} di atletica.;noun, feminine, singular;track;The athletics track.;La pista di atletica.;
pittoresco;Il villaggio è {{c1::pittoresco}}.;adj, masculine, singular;picturesque;The village is picturesque.;Il villaggio è pittoresco.;
piuttosto;È {{c1::piuttosto}} difficile.;adv;rather;It's rather difficult.;È piuttosto difficile.;
poi;{{c1::Poi}} andiamo a casa.;adv;then;Then we go home.;Poi andiamo a casa.;
